,instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area,worth_per_sqft
146,10/26/2010,811608.9658398236,Completed,Unit,Office,Burj Khalifa,1020.5,795.3052090542122
147,03/23/2010,96518.6466600836,Completed,Building,Villa,Wadi Al Safa 6,172.04,561.0244516396397
150,12/22/2011,29698.04512617957,Completed,Unit,Flat,Al Hebiah Fourth,66.1,449.28963882268647
151,12/27/2011,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,68.38,1085.772343016217
153,02/13/2012,55683.834611586695,Completed,Unit,Office,Business Bay,125.44,443.9081203092052
154,02/22/2012,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,127.7,697.6831274748529
155,01/24/2011,44547.06768926936,Completed,Unit,Flat,Al Thanyah Third,70.02,636.2049084442925
156,01/23/2011,51971.57897081425,Completed,Unit,Office,Business Bay,99.92,520.131895224322
157,03/14/2011,44547.06768926936,Completed,Unit,Flat,Al Thanyah Third,75.44,590.4966554781198
158,05/16/2011,118792.18050471829,Completed,Building,Villa,Al Thanayah Fourth,323.66,367.02768493084807
159,03/14/2011,55683.834611586695,Completed,Unit,Flat,Al Thanyah Third,97.64,570.2973639040014
161,07/26/2011,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,78.13,950.2766263336608
162,09/26/2011,118792.18050471829,Completed,Building,Villa,Al Thanayah Fourth,238.01,499.1058380098243
163,11/15/2011,118792.18050471829,Completed,Building,Villa,Al Thanayah Fourth,254.83,466.1624632292834
164,07/26/2011,118792.18050471829,Completed,Building,Villa,Al Thanayah Fourth,260.29,456.3839582954331
165,07/26/2011,631083.4589313159,Completed,Unit,Flat,Palm Jumeirah,1216.61,518.7228930645942
167,06/15/2010,163339.24819398765,Completed,Building,Villa,Al Thanayah Fourth,458.86,355.9675024931082
168,03/14/2011,92806.39101931115,Completed,Building,Villa,Al Thanayah Fourth,212.5,436.7359577379348
169,04/27/2011,89094.13537853872,Completed,Unit,Flat,Burj Khalifa,86.68,1027.851123425689
170,03/28/2011,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,124.23,717.1708554981785
171,04/18/2011,111367.66922317339,Completed,Unit,Flat,Marsa Dubai,176.79,629.9432616277696
172,12/16/2010,59396.09025235914,Completed,Unit,Flat,Marsa Dubai,93.63,634.3702899963596
173,01/23/2011,74245.11281544891,Completed,Unit,Office,Burj Khalifa,140.33,529.0751287354728
176,04/18/2011,96518.6466600836,Completed,Building,Villa,Al Thanayah Fourth,238.02,405.50645601245105
177,12/13/2010,96518.6466600836,Completed,Unit,Flat,Marsa Dubai,133.82,721.2572609481663
178,01/24/2011,81669.62409699382,Completed,Unit,Flat,Al Thanyah Third,131.74,619.9303483907228
180,02/21/2011,111367.66922317339,Completed,Building,Villa,Al Thanayah Fourth,326.26,341.34637780657573
181,04/18/2011,185612.7820386223,Completed,Unit,Flat,Marsa Dubai,406.07,457.0955304223959
183,01/17/2011,63108.34589313158,Completed,Unit,Office,Al Thanyah Fifth,97.18,649.3964384969292
184,09/21/2011,74245.11281544891,Completed,Unit,Flat,Burj Khalifa,89.74,827.3357790890229
185,09/26/2011,81669.62409699382,Completed,Unit,Flat,Burj Khalifa,130.34,626.5891061607628
186,10/19/2011,163339.24819398765,Completed,Unit,Flat,Marsa Dubai,270.51,603.8196303056732
187,10/24/2011,133641.20306780806,Completed,Building,Villa,Al Thanayah Fourth,252.69,528.8741266682815
188,11/15/2011,126216.69178626317,Completed,Unit,Flat,Burj Khalifa,205.04,615.5710680172804
189,10/18/2011,141065.71434935296,Completed,Unit,Flat,Marsa Dubai,176.79,797.9281313951749
190,11/20/2011,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,191.8,464.51582574837704
191,11/15/2011,96518.6466600836,Completed,Unit,Flat,Marsa Dubai,128.76,749.6011700845263
193,11/15/2011,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,129.32,688.9432058346638
194,11/20/2011,103943.1579416285,Completed,Building,Villa,Al Thanayah Fourth,284.42,365.45657106261336
196,02/15/2010,89094.13537853872,Completed,Unit,Flat,Al Thanyah Third,130.82,681.0436888743213
197,04/19/2010,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,69.03,1075.5484979783994
198,05/24/2010,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,90.21,823.0253055697697
199,05/23/2010,445470.67689269356,Completed,Unit,Flat,Al Thanyah Fifth,78.01,5710.430417801481
202,01/17/2011,44547.06768926936,Completed,Unit,Flat,Marsa Dubai,64.28,693.0159876986521
203,12/29/2010,111367.66922317339,Completed,Unit,Flat,Marsa Dubai,178.9,622.513522767878
204,01/17/2011,133641.20306780806,Completed,Building,Villa,Al Thanayah Fourth,409.63,326.24857326809087
208,12/29/2010,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,130.53,682.5567714589652
209,02/28/2011,111367.66922317339,Completed,Building,Villa,Wadi Al Safa 6,314.96,353.5930569696895
210,04/25/2011,103943.1579416285,Completed,Unit,Flat,Burj Khalifa,195.28,532.2775396437346
213,09/14/2011,74245.11281544891,Completed,Unit,Flat,Al Thanyah Fifth,129.69,572.4814003812854
214,10/18/2011,111367.66922317339,Completed,Unit,Flat,Marsa Dubai,170.77,652.1500803605633
217,03/23/2010,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,87.76,846.0017412881598
218,03/23/2010,59396.09025235914,Completed,Unit,Flat,Marsa Dubai,83.15,714.3245971420221
219,10/18/2010,81669.62409699382,Completed,Unit,Flat,Al Thanyah Third,107.43,760.2124555244701
221,05/17/2010,118792.18050471829,Completed,Unit,Flat,Burj Khalifa,125.7,945.0451909683237
223,02/14/2010,103943.1579416285,Completed,Unit,Office,Al Thanyah First,175.03,593.8590981067731
224,07/26/2011,126216.69178626317,Completed,Building,Villa,Al Thanayah Fourth,305.16,413.60824415474883
226,08/22/2011,66820.60153390403,Completed,Building,Villa,Al Thanayah Fourth,174.57,382.77253556684445
227,06/27/2011,59396.09025235914,Completed,Unit,Flat,Marsa Dubai,95.04,624.9588620829034
228,07/26/2011,103943.1579416285,Completed,Building,Villa,Al Thanayah Fourth,251.33,413.5724264577587
230,09/19/2011,59396.09025235914,Completed,Unit,Office,Al Thanyah Fifth,119.12,498.62399473102033
232,11/22/2010,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,78.22,949.183237221285
233,01/17/2011,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,136.66,543.2834246703418
236,11/29/2011,215310.82716480189,Completed,Unit,Flat,Marsa Dubai,271.1,794.2118301910803
